,City,Climate,Transport,Safety,Activity,Restaurant
0,"Huntsville, AL",0.6183167003636364,0.25892827275,0.2683335467142857,0.14674983377272727,0.17698889233898304
1,"Montgomery, AL",0.6974254842727272,0.25,0.20353354342857147,0.12097204795454547,0.17540935962711865
2,"Anchorage,  AK",0.11717689863636363,0.30609224425000003,0.22879311585714288,0.20735967036363642,0.17990311484745763
3,"Fairbanks, AK",0.07736330827272728,0.25,0.20465613328571428,0.16032505286363638,0.17624886393220338
4,"Juneau, AK",0.1064647119090909,0.25,0.1789776325714286,0.14658372900000002,0.1843245190677966
5,"Phoenix, AZ",0.8782614055454545,0.26489841225,0.42315140914285715,0.17776419540909094,0.18910239750847457
6,"Tucson, AZ",0.8136105899090907,0.28590937225,0.3040016937142857,0.24280700199999997,0.18518421689830508
7,"Little Rock, AR",0.6621318997272728,0.3031353135,0.29292564842857144,0.1331096861818182,0.1805108135762712
8,"Fayetteville, AR",0.5840004956363636,0.298613889,0.23427536899999998,0.13354720513636362,0.1762691573559322
9,"Los Angeles, CA",0.6270010407272727,0.27320052875,0.6812728455714286,0.4163925995454546,0.25951512550847455
10,"San Diego, CA",0.573517505090909,0.245236437,0.4087547048571429,0.3486171121818181,0.1801419789661017
11,"San Francisco, CA",0.4575270849090909,0.4250542197500001,0.48142562671428574,0.35705011522727265,0.1746834550338983
12,"San Jose, CA",0.5300810220000001,0.27092978675,0.33881368242857146,0.14212178477272727,0.17788324320338983
13,"Denver, CO",0.37855193172727275,0.26740768925,0.3531498827142857,0.2229043404090909,0.19122109618644068
14,"Colorado Springs, CO",0.3412473947272728,0.30386729925,0.23175275442857143,0.22130870613636364,0.18112223420338983
15,"Bridgeport, CT",0.440327054,0.0,0.04322649414285714,0.05363043595454546,0.178678589
16,"New Haven, CT",0.4414450268181818,0.208325,0.18494753014285711,0.12051103454545455,0.1764203991355932
17,"Stamford, CT",0.44892833927272735,0.25,0.19906178542857142,0.12304052472727274,0.17590328200000002
18,"Hartford, CT",0.418484978,0.25,0.16411122057142857,0.11538213809090907,0.17361172549152543
19,"Wilmington, DE",0.507671047909091,0.39584166675,0.24427715814285716,0.1526206021818182,0.1785979253559322
20,"Dover, DE",0.5301697510909091,0.0,0.09735840314285715,0.12387137463636365,0.1581913393898305
21,Washington D.C.,0.5343785173636364,0.39396429299999997,0.253660171,0.2837615095454544,0.17718379391525427
22,"Jacksonville, FL",0.7460228297272727,0.2304,0.28903364185714286,0.18050318618181818,0.18294663269491523
23,"Miami, FL",0.850824404090909,0.28661737974999996,0.46052888971428574,0.3720307026363636,0.18052796174576272
24,"Tampa, FL",0.7982033999090908,0.2387082545,0.34209673000000007,0.2198673663636364,0.1718861732033898
25,"Orlando, FL",0.7835539843636362,0.2386007425,0.3429774308571429,0.442952199409091,0.18963248335593222
26,"Atlanta, GA",0.6275344513636365,0.290070784,0.32677588914285716,0.209011601,0.18498300383050847
27,"Columbus, GA",0.6794943086363635,0.31252857525,0.10616645285714287,0.1387786234090909,0.17663831944067795
28,"Macon, GA",0.6842138351818183,0.25,0.22663856042857145,0.10394329804545453,0.1755386546779661
29,"Savannah, GA",0.7093411244545454,0.227275,0.2679957531428571,0.19086497772727276,0.19010161769491526
30,"Augusta, GA",0.6757370503636363,0.0,0.20505689685714285,0.11866827686363633,0.17791559581355934
31,"Honolulu, HI",0.7933938644545453,0.26241639225,0.29931400785714285,0.3505485123181818,0.18075179676271189
32,"Boise, ID",0.4480324307272728,0.35939218925,0.2231633887142857,0.1535257157727273,0.1802863388644068
33,"Meridian, ID",0.48383425199999996,0.29896182625,0.24877744071428573,0.15835864854545453,0.17953983855932204
34,"Chicago, IL",0.4204476607272728,0.0,0.10858666885714285,0.0849523188181818,0.17847132925423728
35,"Aurora, IL",0.4238062900909091,0.38117918325,0.5209095524285715,0.3914517433181818,0.16994813550847457
36,"Indianapolis, IN",0.4821101499999999,0.42715479874999995,0.1852185382857143,0.11998704254545456,0.178864912
37,"Fort Wayne, IN",0.4354708147272728,0.26868446625,0.3311450137142857,0.20144324472727276,0.18379898301694914
38,"Des Moines, IA",0.4438282736363636,0.31022740725000003,0.23443134671428573,0.1323066970909091,0.17529977398305086
39,"Cedar Rapids, IA",0.4178382599090909,0.27082827275,0.26888058471428566,0.13298865913636365,0.17502854527118644
40,"Wichita, KS",0.5750516527272728,0.3375137515,0.18997755685714285,0.11712149154545455,0.14001150232203388
41,"Kansas City, KS",0.5351723992727272,0.312534241,0.36521054714285717,0.15075829181818182,0.17433205176271188
42,"Louisville, KY",0.5365789172727272,0.25,0.17585790014285713,0.09465696472727272,0.18111539644067798
43,"Lexington, KY",0.5191482694545454,0.26002886625,0.33298028014285713,0.17570267145454546,0.183582792
44,"New Orleans, LA",0.7590203479090909,0.3333,0.2932118234285714,0.13833953445454547,0.17875370283050848
45,"Baton Rouge, LA",0.7341970715454547,0.37053390075000003,0.31913859028571423,0.2936269472727273,0.1977646326101695
46,"Portland, ME",0.3453783951818182,0.28942500000000004,0.25700703385714285,0.12567860304545458,0.17789988844067797
47,"Baltimore, MD",0.5089994244545454,0.225,0.29729032071428574,0.15832165222727274,0.1866876695762712
48,"Frederick, MD",0.49902882454545466,0.0,0.16472451085714288,0.10003260972727271,0.16212627525423728
49,"Boston, MA",0.40577390363636356,0.40369064275,0.31377535271428575,0.18152055281818183,0.18075579615254236
50,"Worcester, MA",0.38272219445454553,0.298613889,0.19086786028571429,0.17152390072727272,0.18468911491525425
51,"Detroit, MI",0.4149718020909091,0.0,0.1898165387142857,0.1386296365,0.17874452291525425
52,"Grand Rapids, MI",0.39108663063636356,0.36368709575,0.23347196799999997,0.26731113345454544,0.1940391835254237
53,"Minneapolis, MN",0.36294151545454545,0.25,0.1456918752857143,0.1457279795909091,0.1757350760677966
54,"Saint Paul, MN",0.3590303488181818,0.27647818525,0.31276046071428576,0.14155007872727274,0.1713534035762712
55,"Jackson, MS",0.6916685780909092,0.250982795,0.2643833972857143,0.16047925513636363,0.1789258632881356
56,"Gulfport, MS",0.7367506364545455,0.33750886675,0.3387155792857143,0.16139129349999998,0.1820443707457627
57,"St. Louis, MO",0.5546290175454545,0.31848965325,0.3268526645714286,0.14299914759090912,0.1797087608983051
58,"Kansas City, MO",0.5365945338181818,0.31252857525,0.2767077768571428,0.09512164909090912,0.17397024189830507
59,"Billings, MT",0.38277270272727276,0.0,0.15097730057142858,0.12252899345454549,0.15936628447457626
60,"Helena, MT",0.2686206621818182,0.250915694,0.45065226414285714,0.19408224750000003,0.18865498901694916
61,"Omaha, NE",0.46340858890909087,0.0,0.22530593,0.1523447367727273,0.1830230209322034
62,"Lincoln, NE",0.488886853,0.25,0.2659446912857143,0.08347689327272728,0.17638868869491525
63,"Las Vegas, NV",0.7775033279090908,0.0,0.118500944,0.14633381940909093,0.17769566418644067
64,"Reno, NV",0.417266877,0.274447362,0.26901888871428575,0.13345669736363638,0.18011717462711865
65,"Carson City, NV",0.3662569195454545,0.0,0.32399621985714294,0.14553310813636364,0.1782458047118644
66,"Manchester, NH",0.3684680875454545,0.26644634224999997,0.3176547045714285,0.14615950409090908,0.17567124138983053
67,"Nashua, NH",0.38732453609090906,0.240375,0.297062263,0.44419646659090906,0.2055280335762712
68,"Concord, NH",0.3594737903636364,0.0,0.08325863171428571,0.14050108045454546,0.1802830196440678
69,"Newark, NJ",0.47060837490909085,0.39584166675,0.20031230042857143,0.10860263059090909,0.17682981827118643
70,"Jersey City, NJ",0.46398616845454543,0.0,0.03727198357142857,0.08917813154545456,0.17819253627118645
71,"Albuquerque, NM",0.5662737118181819,0.0,0.137849439,0.10640699381818185,0.17897389181355933
72,"Santa Fe, NM",0.36371668399999996,0.32294271175,0.13428657714285713,0.16112365531818185,0.18167811025423727
73,"New York City, NY",0.4711103176363636,0.48299045425,0.20069384942857144,0.050438553045454554,0.17650188694915256
74,"Buffalo, NY",0.3868963008181818,0.0,0.11733248028571427,0.07554688140909088,0.19888525176271188
75,"Charlotte, NC",0.6122958973636363,0.24162805275000002,0.23081394757142856,0.056542418227272725,0.17678121159322033
76,"Raleigh, NC",0.610389105090909,0.25,0.3132359288571429,0.21583267868181819,0.1791054015084746
77,"Fargo, ND",0.3108832274545455,0.494045187,0.3624188104285714,0.19467254790909091,0.1800232420677966
78,"Bismarck, ND",0.3109242142727273,0.230775,0.577667048,0.6641554259090907,0.20327614594915255
79,"Columbus, OH",0.46642878609090915,0.326338889,0.17240547857142857,0.13047150954545453,0.17787154379661016
80,"Cleveland, OH",0.4269199383636364,0.24398347075,0.21201108214285713,0.19995684154545454,0.17838836562711863
81,"Cincinnati, OH",0.5053765559090908,0.2996001065,0.32640829857142856,0.22151346377272726,0.18345537788135594
82,"Oklahoma City, OK",0.6481494655454546,0.25,0.2651885971428572,0.18841706681818182,0.1840569683220339
83,"Tulsa, OK",0.6381643280909091,0.25,0.08765698771428572,0.10762306218181822,0.1763983155762712
84,"Portland, OR",0.41598063127272733,0.29037791475,0.22052586185714285,0.14229601536363637,0.17893767855932202
85,"Salem, OR",0.421124929,0.26077661525,0.3215022497142857,0.16440620104545453,0.1762061976779661
86,"Eugene, OR",0.4077648255454545,0.2482894115,0.2809294502857143,0.15900119772727275,0.1817985138983051
87,"Philadelphia, PA",0.4992329839090909,0.24810833325,0.2613928167142857,0.16818521945454548,0.18488020159322036
88,"Providence, RI",0.4207275963636363,0.30405937850000003,0.3772613978571428,0.18721157963636365,0.18093256015254236
89,"Charleston, SC",0.7040056497272728,0.33337127575000003,0.446693695,0.13588284554545457,0.1810808671694915
90,"Columbia, SC",0.6662222378181818,0.3088,0.3363335801428571,0.26582863581818184,0.19236946291525425
91,"Sioux Falls, SD",0.37989574390909087,0.45826781624999996,0.27747314542857143,0.1223028531363636,0.17560184498305084
92,"Rapid City, SD",0.37356560572727276,0.37867650575,0.2751377091428572,0.14792565277272726,0.17646078447457625
93,"Pierre, SD",0.41008546736363644,0.320723039,0.45116749799999994,0.25285922918181825,0.1864180646101695
94,"Nashville, TN",0.5955251527272728,0.29091891000000003,0.3514567491428572,0.1791826245,0.18609462976271188
95,"Memphis, TN",0.6468592457272727,0.4554535752500001,0.15989679057142858,0.19590936468181816,0.18580523876271188
96,"Knoxville, TN",0.5560583353636365,0.247665044,0.18358500714285722,0.14600491031818183,0.17931244222033899
97,"Chattanooga, TN",0.5911753018181818,0.25,0.28491525657142863,0.20941783249999998,0.18825211206779663
98,"Houston, TX",0.7628059647272726,0.25,0.29004627885714285,0.15444767899999998,0.17972191633898305
99,"San Antonio, TX",0.7735334923636362,0.25,0.21800774657142857,0.12161540590909091,0.17742433318644069
100,"Dallas, TX",0.7299314398181818,0.0,0.11146582085714285,0.1659235504090909,0.18350733891525423
101,"Austin, TX",0.7550207861818182,0.28612201899999995,0.23814449099999999,0.11068069177272727,0.0758069766779661
102,"Salt Lake City, UT",0.41213389581818183,0.233325,0.28358766257142853,0.21522256877272722,0.19041613842372881
103,"Provo, UT",0.4106677484545455,0.239575,0.3626928561428571,0.14115463231818182,0.18131371822033898
104,"Burlington, VT",0.33562014863636364,0.27734804725,0.27766315342857145,0.1979825375,0.1832939638135593
105,"Virginia Beach, VA",0.5896798163636364,0.26848873225000003,0.38752599385714287,0.16070967122727273,0.17914987230508475
106,"Richmond, VA",0.5697362995454546,0.252230532,0.5787423580000001,0.32032157149999996,0.18783153220338983
107,"Seattle, WA",0.3933362033636364,0.2560458185,0.5203097015714286,0.25914976895454545,0.18946857459322033
108,"Spokane, WA",0.3939994395454546,0.27978731349999997,0.4653341095714286,0.22046287318181815,0.18210467184745763
109,"Charleston, WV",0.5102730964545454,0.28578653525000003,0.315525263,0.321893527,0.17972967098305084
110,"Morgantown, WV",0.43742077690909087,0.0,0.09262432085714287,0.2012751034090909,0.17342922944067796
111,"Milwaukee, WI",0.36922796772727273,0.25,0.18393504514285716,0.11873620718181815,0.1740369333559322
112,"Madison, WI",0.3795816697272727,0.0,0.01928042071428571,0.17911578722727273,0.18515302559322033
113,"Green Bay, WI",0.3488438774545455,0.25,0.14946780728571427,0.08753472095454545,0.18349395599999999
114,"Cheyenne, WY",0.3363515942727272,0.34250825074999997,0.2672542912857143,0.20078283440909092,0.17912243594915253
115,"Casper, WY",0.3293770832727273,0.34659229199999997,0.3436614355714286,0.17851098931818182,0.1821838429661017
116,"San Juan, PR",0.920463440181818,0.27493902525,0.1920677537142857,0.16658992590909089,0.18378454601694919
117,"Hilo, HI",0.6920451398181817,0.0,0.3095122892857143,0.3012485463181819,0.17803063676271186
118,"Augusta, ME",0.33201500872727274,0.0,0.10881155771428572,0.14974460863636363,0.17656133274576272
119,"Annapolis, MD",0.5306869181818181,0.33512292574999997,0.24530950642857144,0.1166023825909091,0.17572781679661018
120,"Jefferson City, MO",0.5449086043636363,0.3857634,0.2912370754285714,0.10208239272727271,0.1764495875423729
121,"Trenton, NJ",0.4891556951818181,0.25,0.27296589985714287,0.15750131604545456,0.1808803163898305
122,"Albany, NY",0.389777469,0.0,0.108549335,0.19468807900000004,0.1815513571525424
123,"Pittsburgh, PA",0.4379421180909091,0.45,0.08378622428571429,0.15208075313636368,0.17972599530508476
124,"Montpelier, VT",0.28274374063636365,0.21355,0.2591401622857143,0.12252512495454547,0.1763370993898305
125,"Charlottesville, VA",0.536543562,0.0,0.24886346728571426,0.10883658654545458,0.1765900458644068
